Latitude (decimal degrees): 40.525
Longitude (decimal degrees): -3.772
Elevation (m): 652.0
month,year
1,2018
2,2019
3,2006
4,2012
5,2006
6,2012
7,2006
8,2020
9,2005
10,2017
11,2018
12,2013
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180101:0000,3.97,90.67,0.0,-0.0,0.0,286.94,2.59,277.0,95468.0
20180101:0100,3.29,89.9,0.0,-0.0,0.0,276.3,2.41,272.0,95551.0
20180101:0200,2.62,89.12,0.0,-0.0,0.0,265.65,2.23,269.0,95598.0
20180101:0300,1.94,88.35,0.0,-0.0,0.0,255.01,2.05,257.0,95588.0
20180101:0400,1.26,87.57,0.0,-0.0,0.0,244.37,1.86,252.0,95551.0
20180101:0500,0.59,86.8,0.0,-0.0,0.0,233.72,1.68,260.0,95570.0
20180101:0600,-0.09,86.03,0.0,-0.0,0.0,223.08,1.5,269.0,95561.0
20180101:0700,-0.77,85.25,0.0,-0.0,0.0,212.44,1.32,281.0,95570.0
20180101:0800,-0.52,84.95,45.0,311.72,22.0,234.1,1.24,270.0,95625.0
20180101:0900,1.35,85.2,211.0,795.15,34.0,238.7,1.03,250.0,95662.0
20180101:1000,4.95,71.05,302.0,557.63,113.0,241.8,1.52,234.0,95635.0
20180101:1100,7.07,59.45,302.0,243.45,201.0,249.7,2.28,234.0,95579.0
20180101:1200,8.76,51.35,398.0,518.85,167.0,262.05,3.24,244.0,95450.0
20180101:1300,9.88,49.3,365.0,444.01,175.0,269.55,3.93,255.0,95394.0
20180101:1400,10.46,51.1,237.0,164.77,177.0,274.0,4.48,263.0,95292.0
20180101:1500,10.45,54.5,154.0,135.53,119.0,295.2,4.28,258.0,95228.0
20180101:1600,9.84,59.55,50.0,51.09,44.0,322.95,3.86,246.0,95246.0
20180101:1700,9.04,65.85,0.0,-0.0,0.0,326.05,3.52,246.0,95320.0
20180101:1800,8.56,70.95,0.0,-0.0,0.0,332.8,3.38,244.0,95329.0
20180101:1900,8.38,74.75,0.0,-0.0,0.0,328.0,3.38,249.0,95385.0
20180101:2000,7.81,78.55,0.0,-0.0,0.0,305.6,3.17,247.0,95468.0
20180101:2100,7.45,80.8,0.0,-0.0,0.0,311.4,3.1,246.0,95487.0
20180101:2200,7.28,81.85,0.0,-0.0,0.0,319.7,3.03,246.0,95450.0
20180101:2300,6.94,83.5,0.0,-0.0,0.0,310.8,2.97,245.0,95459.0
20180102:0000,6.75,83.95,0.0,-0.0,0.0,315.45,2.97,246.0,95514.0
20180102:0100,6.2,85.5,0.0,-0.0,0.0,290.6,2.83,248.0,95505.0
20180102:0200,5.85,85.75,0.0,-0.0,0.0,292.7,2.41,255.0,95524.0
20180102:0300,5.59,85.8,0.0,-0.0,0.0,295.8,2.07,264.0,95524.0
20180102:0400,5.29,86.15,0.0,-0.0,0.0,291.35,1.93,268.0,95524.0
20180102:0500,5.09,87.3,0.0,-0.0,0.0,297.9,1.86,260.0,95468.0
20180102:0600,4.94,89.1,0.0,-0.0,0.0,303.5,1.72,256.0,95468.0
20180102:0700,4.63,89.1,0.0,-0.0,0.0,273.4,1.86,264.0,95496.0
20180102:0800,4.0,91.75,20.0,13.57,19.0,276.9,1.66,255.0,95533.0
20180102:0900,5.23,88.5,126.0,121.19,99.0,280.75,1.45,243.0,95579.0
20180102:1000,7.88,75.55,319.0,698.12,82.0,289.25,2.0,244.0,95579.0
20180102:1100,9.62,69.4,400.0,716.72,102.0,290.75,2.55,253.0,95579.0
20180102:1200,10.86,66.2,418.0,638.29,133.0,297.3,3.1,259.0,95514.0
20180102:1300,11.97,63.9,378.0,521.48,154.0,312.75,3.45,262.0,95431.0
20180102:1400,12.78,62.25,280.0,327.81,160.0,321.25,3.52,264.0,95413.0
20180102:1500,12.92,63.3,156.0,145.93,118.0,343.2,3.31,262.0,95422.0
20180102:1600,12.41,66.7,92.0,559.58,25.0,335.7,2.55,243.0,95413.0
20180102:1700,11.33,72.25,0.0,-0.0,0.0,340.15,2.28,239.0,95431.0
20180102:1800,10.6,76.9,0.0,-0.0,0.0,344.2,2.14,240.0,95450.0
20180102:1900,10.03,80.9,0.0,-0.0,0.0,339.95,2.14,240.0,95468.0
20180102:2000,9.67,84.25,0.0,-0.0,0.0,335.5,2.14,244.0,95487.0
20180102:2100,9.57,86.05,0.0,-0.0,0.0,343.4,2.14,246.0,95496.0
20180102:2200,9.25,88.65,0.0,-0.0,0.0,333.0,2.07,243.0,95496.0
20180102:2300,9.1,90.2,0.0,-0.0,0.0,337.25,2.07,241.0,95468.0
20180103:0000,8.94,91.65,0.0,-0.0,0.0,334.95,2.0,240.0,95477.0
20180103:0100,8.79,92.85,0.0,-0.0,0.0,332.45,2.07,241.0,95487.0
20180103:0200,8.69,93.55,0.0,-0.0,0.0,328.95,2.07,244.0,95459.0
20180103:0300,8.43,94.15,0.0,-0.0,0.0,316.05,2.0,247.0,95487.0
20180103:0400,8.19,94.5,0.0,-0.0,0.0,312.75,2.0,250.0,95477.0
20180103:0500,8.08,94.65,0.0,-0.0,0.0,318.75,1.86,251.0,95477.0
20180103:0600,8.26,94.25,0.0,-0.0,0.0,336.3,1.66,250.0,95477.0
20180103:0700,7.46,95.0,0.0,-0.0,0.0,327.0,1.1,242.0,95505.0
20180103:0800,7.41,96.0,42.0,244.27,24.0,331.85,1.17,238.0,95551.0
20180103:0900,8.49,92.6,115.0,80.68,97.0,327.6,1.17,232.0,95579.0
20180103:1000,10.18,85.5,221.0,176.4,161.0,327.2,1.59,232.0,95635.0
20180103:1100,11.68,78.95,380.0,599.78,130.0,329.9,2.14,250.0,95570.0
20180103:1200,12.93,74.15,433.0,718.9,111.0,333.75,2.34,254.0,95533.0
20180103:1300,14.26,67.75,428.0,797.61,84.0,349.2,2.76,259.0,95422.0
20180103:1400,14.91,65.0,347.0,698.18,90.0,337.05,2.55,252.0,95320.0
20180103:1500,15.33,61.85,234.0,654.88,62.0,327.8,2.62,265.0,95292.0
20180103:1600,14.75,64.75,91.0,491.37,31.0,323.15,1.86,254.0,95283.0
20180103:1700,13.14,72.25,0.0,-0.0,0.0,322.95,1.93,246.0,95283.0
20180103:1800,11.92,78.9,0.0,-0.0,0.0,323.95,1.93,253.0,95320.0
20180103:1900,10.72,87.55,0.0,-0.0,0.0,309.85,2.0,250.0,95329.0
20180103:2000,10.35,89.45,0.0,-0.0,0.0,326.05,1.93,252.0,95376.0
20180103:2100,10.04,91.15,0.0,-0.0,0.0,329.55,1.86,247.0,95366.0
20180103:2200,9.97,91.75,0.0,-0.0,0.0,340.7,1.93,241.0,95376.0
20180103:2300,9.91,92.25,0.0,-0.0,0.0,344.2,2.0,239.0,95348.0
20180104:0000,9.63,93.7,0.0,-0.0,0.0,333.0,2.0,239.0,95348.0
20180104:0100,9.41,94.25,0.0,-0.0,0.0,331.3,1.93,240.0,95292.0
20180104:0200,9.04,94.8,0.0,-0.0,0.0,319.5,1.86,242.0,95228.0
20180104:0300,8.77,95.0,0.0,-0.0,0.0,322.0,1.72,245.0,95218.0
20180104:0400,8.39,95.45,0.0,-0.0,0.0,316.4,1.59,248.0,95172.0
20180104:0500,7.86,96.3,0.0,-0.0,0.0,311.8,1.45,251.0,95144.0
20180104:0600,7.29,97.05,0.0,-0.0,0.0,309.3,1.31,252.0,95144.0
20180104:0700,6.84,96.95,0.0,-0.0,0.0,308.9,1.1,249.0,95126.0
20180104:0800,6.72,96.65,26.0,27.1,24.0,311.0,1.03,253.0,95126.0
20180104:0900,7.75,95.15,100.0,35.79,92.0,306.4,0.97,241.0,95117.0
20180104:1000,10.28,82.0,140.0,14.67,135.0,312.35,1.38,236.0,95163.0
